donation_id,date,filer_id
INC592,2019-03-02,1407918
INC552,2019-02-18,1407918
6aHhHFa7EkMr,2019-06-30,1408942
INC542,2019-02-13,1407918
wB4khKGHIJtM,2019-02-06,1408942
ntEwhsJWE2tL,2019-06-26,1408942
6mCXCuaKT5Fb,2019-06-28,1408942
INC1224,2019-06-14,1407918
SuqLwDVoNau6,2019-06-29,1408942
INC788,2019-04-10,1407918
4lnsOmeYfxVE,2019-04-22,1408942
5kxHYKMQvoDw,2019-06-06,1408942
INC806,2019-03-20,1407918
A3JM1X42vK2N,2019-05-20,1408942
GUybRp7i3ryb,2019-06-01,1408942
INC705,2019-03-14,1407918
INC1339,2019-06-26,1407918
INC533,2019-01-23,1407918
PhtVkmXcgw6g,2019-06-21,1408942
INC706,2019-03-06,1407918
hOIgVfzehf4y,2019-05-22,1408942
INC971,2019-04-25,1407918
INC673,2019-03-13,1407918
INC1317,2019-06-30,1407918
INC1017,2019-05-06,1407918
kfwjRdMJETiu,2019-06-17,1408942
INC650,2019-03-06,1407918
INC640,2019-03-06,1407918
INC976,2019-04-25,1407918
7ja6o5TBtVR8,2019-06-06,1408942
INC526,2019-01-23,1407918
Ko1M8HElWaDS,2019-06-27,1408942
i9s79hBHeHJ9,2019-04-26,1408942
QHFAikLAOtp6,2019-06-30,1408942
INC1084,2019-05-08,1407918
Tf2nOGvmoKZ7,2019-04-16,1408942
j3AebLi2AM7W,2019-06-17,1408942
MF8HEYsZK3w8,2019-06-21,1408942
crfr4OWrtoRf,2019-06-30,1408942
INC708,2019-03-02,1407918
INC694,2019-03-02,1407918
INC1154,2019-04-17,1407918
bmBK4GNApzeK,2019-04-16,1408942
INC1078,2019-05-18,1407918
AwCcyzBfv8LM,2019-06-30,1408942
INC1025,2019-05-10,1407918
uV71WbPIWwFi,2019-06-12,1408942
INC1150,2019-05-23,1407918
iHFv6d3smMbE,2019-05-17,1408942
INC740,2019-03-13,1407918
PfX77SuIXfSZ,2019-02-01,1408942
zMVEOYDTUjHW,2019-06-28,1408942
INC1033,2019-05-08,1407918
TRhzH4Jj1yQj,2019-06-29,1408942
GMjc5eZrUiuJ,2019-06-29,1408942
INC1092,2019-05-08,1407918
psHCFtMr9NUq,2019-06-22,1408942
INC734,2019-03-14,1407918
INC994,2019-04-30,1407918
IwLiY7oX7WwR,2019-04-05,1408942
7zgbjwa5vARe,2019-04-15,1408942
INC1079,2019-05-14,1407918
4kO6acK8p53t,2019-06-06,1408942
pPbvctXBsMFP,2019-05-08,1408942
j2bH3FcWwDw2,2019-06-02,1408942
HDliAyfwKWKA,2019-05-09,1408942
INC995,2019-05-05,1407918
XKdcUsrfmXIA,2019-04-15,1408942
oePAvHB3Id1i,2019-01-29,1408942
INC737,2019-03-14,1407918
WgQQ59UWVs9k,2019-06-29,1408942
INC774,2019-04-06,1407918
INC1263,2019-06-21,1407918
INC992,2019-04-15,1407918
iK2gchbxawRU,2019-06-20,1408942
LBrgxoieiKy6,2019-06-17,1408942
chUN7UXePaIL,2019-05-25,1408942
UBxY337j9a1W,2019-04-27,1408942
MG46zTtpLi8P,2019-06-30,1408942
D735JS4HIZbk,2019-04-08,1408942
UMu7PyYYrxOc,2019-01-30,1408942
FtgnmwNUmYVQ,2019-02-08,1408942
d3rRwMK5TQ9b,2019-06-25,1408942
INC531,2019-02-04,1407918
7gvrNdZwRJrY,2019-06-20,1408942
a4uaT6WO4xzW,2019-01-27,1408942
P1HBFrXncbHF,2019-06-21,1408942
Ksnw5Hbaa2LK,2019-06-01,1408942
INC558,2019-02-25,1407918
XGjy8pSnkCxE,2019-06-29,1408942
dMTePu8TQWyf,2019-06-29,1408942
INC1330,2019-06-28,1407918
INC1160,2019-04-17,1407918
INC1106,2019-05-02,1407918
